seed,scenario,depth,step,actor_loss,critic_loss,ppo_updates
21,Mild,0.12,2400,-0.01216,0.7802,19
21,Mild,0.12,2700,-0.02013,2.2524,20
21,Mild,0.12,3000,-0.01121,2.6332,21
21,Mild,0.12,3300,-0.0103,2.0318,22
21,Moderate,0.28,300,-0.01343,11.1827,23
21,Moderate,0.28,600,-0.00956,0.3803,24
21,Moderate,0.28,900,-0.01922,4.1472,25
21,Moderate,0.28,1200,-0.00896,2.5056,26
21,Moderate,0.28,1500,-0.00899,0.3056,27
21,Moderate,0.28,1800,-0.01804,0.316,28
21,Moderate,0.28,2100,-0.01209,1.3356,29
21,Moderate,0.28,2400,-0.01977,2.0384,30
21,Moderate,0.28,2700,-0.02328,14.7275,31
21,Moderate,0.28,3000,-0.01179,1.9824,32
21,Moderate,0.28,3300,-0.01244,2.1916,33
21,Severe,0.55,300,-0.01115,6.6155,34
21,Severe,0.55,600,-0.00966,4.6159,35
21,Severe,0.55,900,-0.00936,1.1759,36
21,Severe,0.55,1200,-0.01286,4.4939,37
21,Severe,0.55,1500,-0.01012,9.0492,38
21,Severe,0.55,1800,-0.00886,4.9432,39
21,Severe,0.55,2100,-0.00979,0.984,40
21,Severe,0.55,2400,-0.01192,4.8708,41
21,Severe,0.55,2700,-0.00971,0.5842,42
21,Severe,0.55,3000,-0.00948,2.0919,43
21,Severe,0.55,3300,-0.01613,2.7589,44
42,Baseline,0.0,300,-0.01321,0.852,1
42,Baseline,0.0,600,-0.01298,2.9376,2
42,Baseline,0.0,900,-0.01108,1.4523,3
42,Baseline,0.0,1200,-0.00937,0.7765,4
42,Baseline,0.0,1500,-0.01088,3.7118,5
42,Baseline,0.0,1800,-0.01059,1.6975,6
42,Baseline,0.0,2100,-0.01125,12.9637,7
42,Baseline,0.0,2400,-0.00983,1.4966,8
42,Baseline,0.0,2700,-0.0115,0.7882,9
42,Baseline,0.0,3000,-0.0124,3.48,10
42,Baseline,0.0,3300,-0.01127,3.3944,11
42,Mild,0.12,300,-0.00895,4.3399,12
42,Mild,0.12,600,-0.00882,1.6606,13
42,Mild,0.12,900,-0.01071,1.7204,14
42,Mild,0.12,1200,-0.0101,2.6109,15
42,Mild,0.12,1500,-0.01247,5.8658,16
42,Mild,0.12,1800,-0.01202,2.557,17
