seed,scenario,depth,step,arrived_cum,arrivals_step,queue,avg_wait_step,reward,cum_reward,AI_step,phase,green_duration,active_vehicles
1,Baseline,0.0,3000,770,1,4,21.125,0.8148140282279133,319.5330424143544,0.6571,1,55,8
1,Baseline,0.0,3060,778,0,14,53.92857142857143,-1.597220693922191,270.0758079063412,0.4467,2,72,14
1,Baseline,0.0,3120,809,0,7,13.416666666666666,-0.38011535083546866,296.4353925232346,0.7489,3,55,12
1,Baseline,0.0,3180,830,0,0,0.0,0.4278042913942522,299.3878858307976,0.8601,4,55,11
1,Baseline,0.0,3240,852,1,4,23.0,0.8219889140408421,332.96414253539024,0.7296,5,68,5
1,Baseline,0.0,3300,874,0,1,6.8,0.31316313339437485,364.4531093178302,0.8604,0,63,5
1,Baseline,0.0,3360,884,0,8,40.888888888888886,-0.80967980136779,350.94473595866424,0.6435,1,63,9
1,Baseline,0.0,3420,897,1,9,16.923076923076923,0.387114449747188,334.95641251988815,0.8167,2,78,13
1,Baseline,0.0,3480,927,0,2,2.0,0.26402836612174063,360.30605237346794,0.9473,3,58,7
1,Baseline,0.0,3540,942,0,6,8.285714285714286,-0.19307211170408606,377.5462173559665,0.9209,4,77,7
1,Mild,0.12,0,0,0,0,0.0,0.0,0.0,0.0,0,20,0
1,Mild,0.12,60,6,0,4,22.6,-0.5382021982853294,-12.274536218478088,-0.1434,1,74,5
1,Mild,0.12,120,19,1,3,10.833333333333334,0.8038259103247278,-10.012448077063592,-0.0494,2,64,6
1,Mild,0.12,180,29,1,2,5.666666666666667,1.074433812817409,2.358147128190369,-0.0029,3,66,3
1,Mild,0.12,240,35,0,5,4.8,-0.2373362997213011,13.71097628895936,0.0101,4,66,5
1,Mild,0.12,300,47,1,2,13.2,0.9776309626449908,21.050970160847488,-0.0314,5,57,5
1,Mild,0.12,360,54,0,2,2.3333333333333335,0.05535993143576842,18.467960549657963,0.0494,0,66,9
1,Mild,0.12,420,73,0,7,12.88888888888889,-0.507961383106734,32.08482039972867,0.0019,1,54,9
1,Mild,0.12,480,86,0,12,38.875,-1.3181378713375562,-6.998213947396712,-0.1557,2,72,16
1,Mild,0.12,540,98,0,2,2.411764705882353,0.09492215791396508,-66.45617982816114,0.1019,3,55,17
1,Mild,0.12,600,122,1,4,0.9230769230769231,0.9847891371424058,-66.84157947257695,0.1407,4,63,13
1,Mild,0.12,660,137,0,2,7.111111111111111,0.14396818062147076,-72.69526809936532,0.1175,5,58,9
1,Mild,0.12,720,149,2,2,1.4,2.161113745596821,-62.37882620695562,0.17,0,50,5
1,Mild,0.12,780,154,0,4,17.625,-0.19164426608260177,-52.92002420925199,0.0678,1,64,8
1,Mild,0.12,840,174,0,5,2.4,-0.11017109864872077,-50.936009122606876,0.1934,2,51,10
1,Mild,0.12,900,187,0,9,9.307692307692308,-0.5778087380272406,-63.99996367371666,0.163,3,73,13
1,Mild,0.12,960,206,1,0,0.0,1.4475970921799788,-55.104291752900686,0.2479,4,59,4
1,Mild,0.12,1020,217,0,2,5.6,0.20451972030134685,-19.573148727401858,0.2238,5,60,5
1,Mild,0.12,1080,230,0,1,1.3333333333333333,0.3124666749055753,-3.1095678265180244,0.2679,0,57,6
1,Mild,0.12,1140,241,0,6,14.571428571428571,-0.3182940547198031,13.782126166120701,0.1929,1,60,7
