scenario,depth,AI_mean,AI_std,service_mean,service_std,wait_mean,wait_std,throughput_mean,throughput_std,reward_mean,reward_std,ppo_updates_mean,ppo_updates_std
Baseline,0.0,0.85016,0.028728696454938547,98.324,0.7404255533137709,19.9624,3.7568935704914503,948.4,11.238327277669038,-206.83380000000002,515.2776685901496,11.0,0.0
Mild,0.12,0.8460599999999999,0.024524742608231422,98.49600000000001,0.5952142471413169,20.833,2.9172877814847125,833.4,12.300406497347963,-82.69680000000002,505.27575688598006,22.0,0.0
Moderate,0.28,0.8425800000000001,0.030720139973639447,98.302,1.0360839734307283,21.0666,4.126692052964456,708.8,22.219360926903363,166.47200000000004,484.6450471334665,33.0,0.0
Severe,0.55,0.72988,0.04871901066318979,93.72200000000001,2.656712253895783,31.099399999999996,10.798854351272638,271.0,19.73575435599055,537.3084000000001,439.4634696289329,44.0,0.0
